FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;Mala Fama Simple 110g ;9; $ 113.400,00 
;;Mala Fama Triple 330g ;3; $ 56.700,00 
;;NUGGETS X12 + PAPAS + BBQ;15; $ 120.000,00 
;;Nugget's X6 ;; $ 30.800,00 
;;Papas con Cheddar;2; $ 79.200,00 
;;PAPAS QUEEN;9; $ 70.200,00 
;;Papas Queen ;; $ 42.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;13; $ 314.600,00 
;;PROMO 2-- 2 x Charly doble ;9; $ 189.900,00 
;;Red Hot DOBLE;4; $ 57.600,00 
;;Red Hot Simple 110g ;7; $ 79.800,00 
;;RESIDENTE DOBLE;4; $ 62.400,00 
;;RESIDENTE SIMPLE;4; $ 50.400,00 
;;RIHANNA ;3; $ 28.200,00 
;;Rolling Stone Doble 220g;4; $ 55.600,00 
;;Rolling Stone Simple 110g ;4; $ 43.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Techno Chicken DOBLE ;1; $ 12.500,00 
;;Duko Simple;2; $ 23.400,00 
;;Duko Doble;13; $ 191.100,00 
;;Duko Triple 330g ;5; $ 90.000,00 
;;Beatle Triple ;1; $ 17.500,00 
;;Rolling Stone Triple;1; $ 17.200,00 
;;FANTA 500 ml;4; $ 9.600,00 
;;Porcion de Faina;; $ 1.500,00 
;;Lata Schweppes Pomelo Zero;3; $ 7.200,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;;John Lennon Mediana;4; $ 64.000,00 
;;John Lennon XL;5; $ 110.000,00 
;;Pink Floyd Mediana;3; $ 57.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;24; $ 60.000,00 
;;Empanada de Pollo;4; $ 10.000,00 
;;Empanada de Jamon y Queso;15; $ 37.500,00 
;;Elvis Presley MEDIANA;2; $ 54.000,00 
;;6 empanadas;2; $ 26.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;2; $ 14.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
5/1/2026;363621;2 tostados AMERICANOS;1; $ 8.500,00 
;;ACDC Doble;4; $ 59.200,00 
;;Alma Fuerte ;1; $ 12.000,00 
;;Andes Rubia;1; $ 3.000,00 
;;Beatle Doble 220g ;5; $ 71.000,00 
;;Beatle Simple 110g ;1; $ 11.200,00 
;;BIZARRAP Session #1 ;2; $ 18.600,00 
;;Bob marley Simple;2; $ 21.400,00 
;;Charly Doble 220g ;4; $ 54.000,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;13; $ 167.700,00 
;;Clasic Simple 110g ;7; $ 69.300,00 
;;Clasic Triple 330g;2; $ 32.400,00 
;;CLASICO + levite;1; $ 6.000,00 
;;COCA 500 ml;5; $ 12.000,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 52.000,00 
;;Gorillaz Doble;2; $ 30.600,00 
;;HC doble;1; $ 15.600,00 
;;HC simple;1; $ 12.600,00 
;;KISS DOBLE;1; $ 14.500,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LADY GAGA;2; $ 18.800,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Simple 110g ;2; $ 25.200,00 
;;Mala Fama Triple 330g ;3; $ 56.700,00 
;;NUGGETS X12 + PAPAS + BBQ;3; $ 24.000,00 
;;Nugget's X6 ;; $ 2.800,00 
;;Papas con Cheddar;1; $ 27.600,00 
;;PAPAS QUEEN;4; $ 31.200,00 
;;Papas Queen ;; $ 22.400,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;4; $ 96.800,00 
;;PROMO 2-- 2 x Charly doble ;10; $ 211.000,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;RESIDENTE DOBLE;2; $ 31.200,00 
;;RIHANNA ;1; $ 9.400,00 
;;Rolling Stone Doble 220g;2; $ 27.800,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;techno Chicken;1; $ 9.500,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;6; $ 88.200,00 
;;Beatle Triple ;1; $ 17.500,00 
;;John Lennon Mediana;2; $ 32.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence XL;1; $ 27.000,00 
;;6 empanadas;1; $ 13.000,00 
;;EXTRA CHEDDAR ;; $ 3.000,00 
6/1/2026;364621;ACDC Doble;3; $ 44.400,00 
;;Agua 500cc;2; $ 4.200,00 
;;Charly Doble 220g ;2; $ 27.000,00 
;;Clasic Doble 220g;1; $ 12.900,00 
;;COCA 500 ml;1; $ 2.400,00 
;;dip de cheddar;; $ 5.400,00 
;;ENVIO;; $ 15.600,00 
;;FERNET ;3; $ 21.000,00 
;;Freestyle;1; $ 19.200,00 
;;HC doble;1; $ 15.600,00 
;;HC simple;1; $ 12.600,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 6.700,00 
;;KISS DOBLE;1; $ 14.500,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;kiss triple;1; $ 17.800,00 
;;LADY GAGA;3; $ 28.200,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;1; $ 15.600,00 
;;Nugget's X6 ;; $ 11.200,00 
;;Papas con Cheddar;; $ 6.000,00 
;;Papas Queen ;; $ 5.600,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 21.100,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;RIHANNA ;4; $ 37.600,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;3; $ 44.100,00 
;;Duko Triple 330g ;1; $ 18.000,00 
;364622;ACDC Doble;3; $ 44.400,00 
;;ACDC Simple ;1; $ 11.800,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;1; $ 12.000,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 3.200,00 
;;Beatle Doble 220g ;6; $ 85.200,00 
;;Beatle Simple 110g ;2; $ 22.400,00 
;;BIZARRAP Session #1 ;1; $ 9.300,00 
;;BIZZARAP session #2;1; $ 9.300,00 
;;Bob marley Simple;1; $ 10.700,00 
;;Cerveza Andes IPA;2; $ 6.000,00 
;;Charly Doble 220g ;1; $ 13.500,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;18; $ 232.200,00 
;;Clasic Simple 110g ;4; $ 39.600,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;COCA 500 ml;4; $ 9.600,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
