FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;Empanada de Jamon y Queso;1; $ 2.500,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;1; $ 7.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
;;Freddie Mercury Mediana;1; $ 21.000,00 
10/2/2026;387657;Agua 500cc;1; $ 2.100,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;Charly Doble 220g ;1; $ 14.100,00 
;;Clasic Doble 220g;1; $ 13.500,00 
;;Clasic Simple 110g ;2; $ 21.000,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 11.700,00 
;;Fried Onion Doble 220g;2; $ 30.200,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;MADONNA veggie;1; $ 11.600,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Nugget's X6 ;; $ 5.600,00 
;;Papas con Cheddar;; $ 2.100,00 
;;Papas Queen ;; $ 3.000,00 
;;PROMO 1 -- 4 X Classic simple;1; $ 25.600,00 
;;PROMO 2-- 2 x Charly doble ;4; $ 89.600,00 
;;RESIDENTE DOBLE;1; $ 16.400,00 
;;RIHANNA ;2; $ 19.800,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;Duko Triple 330g ;1; $ 18.700,00 
;;NIRVANA  ;2; $ 28.400,00 
;;NIRVANA 2;1; $ 14.300,00 
;388657;2 tostados AMERICANOS;1; $ 9.000,00 
;;ACDC Doble;3; $ 46.500,00 
;;ACDC Simple ;1; $ 12.500,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;1; $ 12.700,00 
;;Andes Rubia;3; $ 9.000,00 
;;Aros de Cebolla 6 unid.;; $ 17.000,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;Beatle Simple 110g ;1; $ 11.900,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;10; $ 135.000,00 
;;Clasic Simple 110g ;2; $ 21.000,00 
;;Clasic Triple 330g;3; $ 50.400,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 2.700,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 44.200,00 
;;Freestyle;1; $ 20.400,00 
;;Gorillaz Doble;4; $ 64.000,00 
;;Gorillaz simple ;1; $ 13.000,00 
;;HC doble;2; $ 32.800,00 
;;HIP HOP;1; $ 21.800,00 
;;KISS DOBLE;1; $ 15.200,00 
;;kiss triple;1; $ 18.500,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;5; $ 82.000,00 
;;Mala Fama Simple 110g ;4; $ 53.600,00 
;;Mala Fama Triple 330g ;1; $ 19.700,00 
;;NUGGETS X12 + PAPAS + BBQ;4; $ 34.000,00 
;;Nugget's X6 ;; $ 22.400,00 
;;Papas con Cheddar;; $ 14.700,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;Papas Queen ;; $ 27.000,00 
;;PATRICIO REY DOBLE;2; $ 31.400,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;6; $ 153.600,00 
;;PROMO 2-- 2 x Charly doble ;5; $ 112.000,00 
;;Red Hot DOBLE;2; $ 30.200,00 
;;Red Hot Simple 110g ;2; $ 24.200,00 
;;RESIDENTE DOBLE;3; $ 49.200,00 
;;RESIDENTE SIMPLE;1; $ 13.400,00 
;;Rolling Stone Doble 220g;2; $ 29.200,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;TIRAMISU;1; $ 4.200,00 
;;Duko Simple;6; $ 74.400,00 
;;Duko Doble;7; $ 107.800,00 
;;Beatle Triple ;1; $ 18.200,00 
;;CHEESECAKE OREO;1; $ 4.200,00 
;;NIRVANA  ;1; $ 14.200,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;EXTRA CHEDDAR ;; $ 3.000,00 
11/2/2026;388658;2 tostados AMERICANOS;1; $ 9.000,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;2; $ 27.000,00 
;;Clasic Simple 110g ;3; $ 31.500,00 
;;COCA 500 ml;3; $ 7.200,00 
;;dip de cheddar;; $ 2.700,00 
;;ENVIO;; $ 13.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;MADONNA veggie DOBLE;2; $ 29.000,00 
;;Mala Fama Doble 220g;1; $ 16.400,00 
;;Mala Fama Simple 110g ;1; $ 13.400,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;2; $ 17.000,00 
;;Nugget's X6 ;; $ 5.600,00 
;;Papas con Cheddar;; $ 4.200,00 
;;Papas Queen ;; $ 9.000,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 67.200,00 
;;RIHANNA ;2; $ 19.800,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Simple;1; $ 12.400,00 
;;Duko Doble;3; $ 46.200,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;388659;ACDC Doble;1; $ 15.500,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;Aros de Cebolla 6 unid.;; $ 13.600,00 
;;Beatle Doble 220g ;4; $ 59.600,00 
;;Beatle Simple 110g ;2; $ 23.800,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;Bob marley Simple;1; $ 11.300,00 
;;cambio x dip cheddar;; $ 900,00 
;;Charly  Triple 330g;2; $ 34.800,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;2; $ 22.200,00 
;;Clasic Doble 220g;7; $ 94.500,00 
;;Clasic Simple 110g ;9; $ 94.500,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de cheddar;; $ 2.700,00 
;;Eminem;1; $ 16.600,00 
;;ENVIO;; $ 52.000,00 
;;Freestyle;5; $ 102.000,00 
;;Fried Onion Doble 220g;3; $ 45.300,00 
;;Gorillaz Doble;1; $ 16.000,00 
;;HC doble;3; $ 49.200,00 
;;HIP HOP;1; $ 21.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS DOBLE;2; $ 30.400,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;4; $ 20.000,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;7; $ 114.800,00 
;;Mala Fama Simple 110g ;5; $ 67.000,00 
;;Mala Fama Triple 330g ;1; $ 19.700,00 
;;NUGGETS X12 + PAPAS + BBQ;3; $ 25.500,00 
;;Nugget's X6 ;; $ 14.000,00 
;;Papas con Cheddar;4; $ 58.000,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;Papas Queen ;; $ 36.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 2-- 2 x Charly doble ;7; $ 156.800,00 
;;Red Hot Simple 110g ;2; $ 24.200,00 
;;Red Hot Triple 330g ;1; $ 18.400,00 
;;RESIDENTE DOBLE;1; $ 16.400,00 
;;RESIDENTE SIMPLE;3; $ 40.200,00 
;;RIHANNA ;1; $ 9.900,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Techno Chicken DOBLE ;1; $ 13.000,00 
;;Duko Simple;3; $ 37.200,00 
;;Duko Doble;2; $ 30.800,00 
;;Duko Triple 330g ;2; $ 37.400,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Empanada de Carne;2; $ 5.000,00 
;;Empanada de Pollo;3; $ 7.500,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;1; $ 25.000,00 
12/2/2026;388660;2 tostados AMERICANOS;1; $ 9.000,00 
;;Alma Fuerte ;1; $ 12.700,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;Clasic Doble 220g;3; $ 40.500,00 
;;Clasic Simple 110g ;1; $ 10.500,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;ENVIO;; $ 10.400,00 
;;FERNET ;2; $ 14.000,00 
;;GIN TONIC;1; $ 7.500,00 
;;HIP HOP;1; $ 21.800,00 
;;LATA Coca-Cola 357cc;2; $ 5.000,00 
;;Mala Fama Doble 220g;1; $ 16.400,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;3; $ 25.500,00 
;;Papas con Cheddar;1; $ 8.200,00 
;;Papas Queen ;; $ 3.000,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 22.400,00 
;;RIHANNA ;1; $ 9.900,00 
;;Duko Simple;2; $ 24.800,00 
;;Duko Doble;1; $ 15.400,00 
;;CHEESECAKE OREO;1; $ 4.200,00 
;388661;2 tostados AMERICANOS;1; $ 9.000,00 
;;ACDC Doble;2; $ 31.000,00 
;;Alma Fuerte ;2; $ 25.400,00 
;;AMERICANO + levite;2; $ 12.800,00 
;;Aros de Cebolla 6 unid.;; $ 13.600,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.100,00 
;;Beatle Doble 220g ;1; $ 14.900,00 
;;Beatle Simple 110g ;1; $ 11.900,00 
;;BIZARRAP Session #1 ;1; $ 9.900,00 
;;BIZZARAP session #2;3; $ 29.700,00 
;;Bob Marley Doble ;1; $ 14.300,00 
;;Charly  Triple 330g;1; $ 17.400,00 
;;Charly Doble 220g ;2; $ 28.200,00 
;;Charly Simple 110g;1; $ 11.100,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;6; $ 81.000,00 
;;Clasic Simple 110g ;4; $ 42.000,00 
;;Clasic Triple 330g;2; $ 33.600,00 
;;Coca Cola 1.5 Lts;5; $ 21.500,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 8.100,00 
;;Eminem;3; $ 49.800,00 
;;ENVIO;; $ 55.900,00 
;;Gorillaz Doble;2; $ 32.000,00 
;;Gorillaz Triple;1; $ 19.300,00 
;;HC doble;2; $ 32.800,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.100,00 
;;KISS SIMPLE;1; $ 12.200,00 
;;LADY GAGA;2; $ 19.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;2; $ 32.800,00 
;;Mala Fama Simple 110g ;3; $ 40.200,00 
;;Mala Fama Triple 330g ;2; $ 39.400,00 
;;NUGGETS X12 + PAPAS + BBQ;3; $ 25.500,00 
;;Nugget's X6 ;; $ 22.400,00 
;;Papas con Cheddar;1; $ 12.400,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;Papas Queen ;; $ 27.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.700,00 
;;PROMO 1 -- 4 X Classic simple;4; $ 102.400,00 
;;PROMO 2-- 2 x Charly doble ;4; $ 89.600,00 
;;Red Hot DOBLE;2; $ 30.200,00 
;;Red Hot Simple 110g ;1; $ 12.100,00 
;;RESIDENTE SIMPLE;2; $ 26.800,00 
;;Rolling Stone Doble 220g;1; $ 14.600,00 
;;Rolling Stone Simple 110g ;1; $ 11.600,00 
;;Sprite 1.5L;1; $ 4.300,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;Duko Simple;4; $ 49.600,00 
;;Duko Doble;12; $ 184.800,00 
;;Duko Triple 330g ;2; $ 37.400,00 
;;Rolling Stone Triple;1; $ 17.900,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;1; $ 25.000,00 
;;Empanada de Carne;5; $ 12.500,00 
;;Empanada de Pollo;3; $ 7.500,00 
;;Empanada de Jamon y Queso;9; $ 22.500,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;2; $ 50.000,00 
;;CHEESCAKE DE FRUTILLA ;1; $ 4.200,00 
13/2/2026;388662;Andes Rubia;1; $ 3.000,00 
;;Clasic Simple 110g ;3; $ 31.500,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 10.400,00 
;;FERNET ;2; $ 14.000,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 40.800,00 
;;KISS DOBLE;1; $ 15.200,00 
;;LADY GAGA;1; $ 9.900,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.500,00 
;;Papas con Cheddar;1; $ 8.200,00 
;;Papas Mercury;1; $ 11.500,00 
;;PAPAS QUEEN;1; $ 8.300,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 51.200,00 
;;PROMO 2-- 2 x Charly doble ;2; $ 44.800,00 
;;Duko Simple;1; $ 12.400,00 
;388663;ACDC Doble;6; $ 97.200,00 
;;ACDC Simple ;2; $ 26.400,00 
;;ACDC Triple;1; $ 19.500,00 
;;Agua 500cc;1; $ 2.100,00 
;;Alma Fuerte ;3; $ 40.500,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 14.400,00 
;;Beatle Doble 220g ;4; $ 62.400,00 
;;Beatle Simple 110g ;3; $ 37.800,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Bob marley Simple;1; $ 12.100,00 
;;cambio x dip cheddar;; $ 900,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly Doble 220g ;11; $ 161.700,00 
;;Charly Simple 110g;6; $ 70.200,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;24; $ 338.400,00 
;;Clasic Simple 110g ;11; $ 122.100,00 
;;Clasic Triple 330g;1; $ 17.400,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;7; $ 30.100,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 3.300,00 
;;dip de cheddar;; $ 5.600,00 
;;Eminem;3; $ 52.800,00 
;;ENVIO;; $ 100.100,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;6; $ 129.600,00 
;;Gorillaz Doble;2; $ 33.600,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;HC doble;2; $ 34.800,00 
;;HC simple;3; $ 42.600,00 
;;Heineken 464ml;3; $ 11.100,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.500,00 
;;KISS DOBLE;4; $ 63.600,00 
;;KISS SIMPLE;1; $ 12.900,00 
;;LADY GAGA;1; $ 10.500,00 
;;LATA Coca-Cola 357cc;2; $ 5.000,00 
;;LATON HEINEKEN;3; $ 15.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Doble 220g;11; $ 189.200,00 
;;Mala Fama Simple 110g ;2; $ 28.400,00 
;;Mala Fama Triple 330g ;3; $ 61.500,00 
;;NUGGETS X12 + PAPAS + BBQ;3; $ 27.000,00 
;;Nugget's X6 ;; $ 51.200,00 
;;Papas con Cheddar;4; $ 75.600,00 
;;Papas Mercury;1; $ 12.200,00 
;;PAPAS QUEEN;6; $ 52.800,00 
;;Papas Queen ;; $ 32.000,00 
;;PROMO 1 -- 4 X Classic simple;8; $ 216.800,00 
;;PROMO 2-- 2 x Charly doble ;14; $ 331.800,00 
;;Red Hot DOBLE;1; $ 15.800,00 
;;Red Hot Triple 330g ;1; $ 19.100,00 
;;RESIDENTE DOBLE;11; $ 189.200,00 
;;RESIDENTE SIMPLE;2; $ 28.400,00 
;;RIHANNA ;2; $ 21.000,00 
;;Rolling Stone Doble 220g;5; $ 76.500,00 
;;Rolling Stone Simple 110g ;1; $ 12.300,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;techno Chicken;1; $ 10.700,00 
;;Techno Chicken DOBLE ;1; $ 13.700,00 
;;Duko Simple;3; $ 39.300,00 
;;Duko Doble;17; $ 273.700,00 
;;Beatle Triple ;1; $ 18.900,00 
;;empanada caprece;2; $ 5.000,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;John Lennon Mediana;5; $ 80.000,00 
;;John Lennon XL;1; $ 22.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Pink Floyd XL;3; $ 75.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;2; $ 5.000,00 
;;Empanada de Jamon y Queso;2; $ 5.000,00 
;;Elvis Presley XL;1; $ 34.000,00 
;;6 empanadas;1; $ 13.000,00 
;;Freddie Mercury XL;1; $ 21.000,00 
;;CHEESCAKE DE FRUTILLA ;2; $ 8.400,00 
14/2/2026;388664;Alma Fuerte ;1; $ 13.500,00 
;;Aros de Cebolla 6 unid.;; $ 7.200,00 
;;Beatle Doble 220g ;1; $ 15.600,00 
;;Charly Simple 110g;3; $ 35.100,00 
;;Clasic Doble 220g;3; $ 42.300,00 
;;Clasic Simple 110g ;1; $ 11.100,00 
;;Clasic Triple 330g;1; $ 17.400,00 
;;CLASICO + levite;1; $ 6.800,00 
;;Coca Cola 1.5 Lts;1; $ 4.300,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;ENVIO;; $ 11.700,00 
;;Freestyle;1; $ 21.600,00 
;;Gorillaz Doble;2; $ 33.600,00 
;;HC simple;1; $ 14.200,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.500,00 
;;LADY GAGA;2; $ 21.000,00 
;;MADONNA veggie DOBLE;1; $ 15.300,00 
;;Mala Fama Doble 220g;1; $ 17.200,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;1; $ 9.000,00 
;;Nugget's X6 ;; $ 3.200,00 
;;Papas con Cheddar;; $ 2.400,00 
;;Papas Queen ;; $ 12.800,00 
;;PROMO 1 -- 4 X Classic simple;1; $ 27.100,00 
;;Duko Simple;1; $ 13.100,00 
;;Duko Doble;4; $ 64.400,00 
;;FANTA 500 ml;1; $ 2.400,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;388665;ACDC Doble;9; $ 145.800,00 
;;ACDC Simple ;4; $ 52.800,00 
;;ACDC Triple;4; $ 78.000,00 
;;Agua 500cc;6; $ 12.600,00 
;;Alma Fuerte ;3; $ 40.500,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 32.400,00 
;;Beatle Doble 220g ;9; $ 140.400,00 
;;Beatle Simple 110g ;4; $ 50.400,00 
;;BIZARRAP Session #1 ;3; $ 31.500,00 
;;BIZZARAP session #2;2; $ 21.000,00 
;;Bob Marley Doble ;2; $ 30.200,00 
;;Bob marley Simple;1; $ 12.100,00 
;;cambio x dip cheddar;; $ 2.700,00 
;;Cerveza Andes IPA;4; $ 12.000,00 
;;Charly  Triple 330g;2; $ 36.000,00 
;;Charly Doble 220g ;7; $ 102.900,00 
;;Charly Simple 110g;5; $ 58.500,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;28; $ 394.800,00 
;;Clasic Simple 110g ;28; $ 310.800,00 
;;Clasic Triple 330g;5; $ 87.000,00 
;;Coca Cola 1.5 Lts;11; $ 47.300,00 
;;Coca Cola Zero 1.5 Lts;3; $ 12.900,00 
;;dip de barbacoa;; $ 2.200,00 
;;dip de cheddar;; $ 22.400,00 
;;Eminem;1; $ 17.600,00 
;;ENVIO;; $ 89.700,00 
;;FERNET ;2; $ 14.000,00 
;;Freestyle;3; $ 64.800,00 
;;Gorillaz Doble;4; $ 67.200,00 
;;Gorillaz simple ;2; $ 27.600,00 
;;Gorillaz Triple;1; $ 20.100,00 
;;HC doble;5; $ 87.000,00 
;;HC simple;3; $ 42.600,00 
;;Heineken 464ml;1; $ 3.700,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 15.000,00 
;;KISS DOBLE;1; $ 15.900,00 
;;KISS SIMPLE;1; $ 12.900,00 
;;LADY GAGA;1; $ 10.500,00 
;;LATA Coca-Cola 357cc;9; $ 22.500,00 
;;LATON HEINEKEN;8; $ 40.000,00 
;;LEVITE 500ml;3; $ 6.300,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;4; $ 11.200,00 
;;MADONNA veggie DOBLE;1; $ 15.300,00 
;;Mala Fama Doble 220g;18; $ 309.600,00 
;;Mala Fama Simple 110g ;14; $ 198.800,00 
;;Mala Fama Triple 330g ;5; $ 102.500,00 
;;MESA;;
;;NUGGETS X12 + PAPAS + BBQ;10; $ 90.000,00 
;;Nugget's X6 ;; $ 25.600,00 
;;Papas con Cheddar;; $ 36.000,00 
;;PAPAS QUEEN;8; $ 70.400,00 
;;Papas Queen ;; $ 22.400,00 
;;PATRICIO REY DOBLE;1; $ 16.500,00 
;;PATRICIO REY SIMPLE;1; $ 13.500,00 
;;PROMO 1 -- 4 X Classic simple;6; $ 162.600,00 
;;PROMO 2-- 2 x Charly doble ;20; $ 474.000,00 
;;Red Hot DOBLE;2; $ 31.600,00 
;;Red Hot Simple 110g ;4; $ 51.200,00 
;;RESIDENTE DOBLE;5; $ 86.000,00 
;;RESIDENTE SIMPLE;2; $ 28.400,00 
;;RIHANNA ;3; $ 31.500,00 
;;Rolling Stone Simple 110g ;2; $ 24.600,00 
;;Sprite 1.5L;3; $ 12.900,00 
;;SPRITE 500 ml ;2; $ 4.800,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;techno Chicken;2; $ 21.400,00 
;;Duko Simple;3; $ 39.300,00 
;;Duko Doble;12; $ 193.200,00 
;;Duko Triple 330g ;4; $ 77.600,00 
;;FANTA 500 ml;2; $ 4.800,00 
;;CHEESECAKE OREO;1; $ 4.200,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;;John Lennon Mediana;6; $ 96.000,00 
;;John Lennon XL;4; $ 88.000,00 
;;Michael Jackson Mediana;2; $ 36.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Creedence Mediana ;2; $ 42.000,00 
;;Empanada de Carne;4; $ 10.000,00 
;;Empanada de Jamon y Queso;1; $ 2.500,00 
;;6 empanadas;1; $ 13.000,00 
;;Kiss Mediana;2; $ 19.800,00 
15/2/2026;389665;ACDC Doble;2; $ 32.400,00 
;;ACDC Simple ;2; $ 26.400,00 
;;Alma Fuerte ;2; $ 27.000,00 
;;Aros de Cebolla 6 unid.;; $ 10.800,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 8.600,00 
;;Beatle Simple 110g ;2; $ 25.200,00 
;;BIZARRAP Session #1 ;3; $ 31.500,00 
;;BIZZARAP session #2;1; $ 10.500,00 
;;Bob Marley Doble ;1; $ 15.100,00 
;;Bob marley Simple;5; $ 60.500,00 
;;cambio x dip cheddar;; $ 5.400,00 
;;Charly Doble 220g ;3; $ 44.100,00 
;;Charly Simple 110g;3; $ 35.100,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;17; $ 239.700,00 
;;Clasic Simple 110g ;11; $ 122.100,00 
;;Clasic Triple 330g;3; $ 52.200,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;11; $ 47.300,00 
;;dip de barbacoa;; $ 1.100,00 
;;dip de cheddar;; $ 5.600,00 
;;Eminem;1; $ 17.600,00 
;;ENVIO;; $ 94.900,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;6; $ 129.600,00 
;;Gorillaz Doble;3; $ 50.400,00 
;;Gorillaz simple ;1; $ 13.800,00 
;;Gorillaz Triple;1; $ 20.100,00 
;;HC doble;2; $ 34.800,00 
;;HC simple;3; $ 42.600,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 7.500,00 
;;KISS DOBLE;1; $ 15.900,00 
;;KISS SIMPLE;2; $ 25.800,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;MADONNA veggie DOBLE;1; $ 15.300,00 
;;Mala Fama Doble 220g;2; $ 34.400,00 
;;Mala Fama Simple 110g ;2; $ 28.400,00 
;;Mala Fama Triple 330g ;2; $ 41.000,00 
;;NUGGETS X12 + PAPAS + BBQ;8; $ 72.000,00 
;;Nugget's X6 ;; $ 38.400,00 
;;Papas con Cheddar;3; $ 35.700,00 
;;PAPAS QUEEN;6; $ 52.800,00 
;;Papas Queen ;; $ 38.400,00 
;;PATRICIO REY DOBLE;2; $ 33.000,00 
;;PROMO 1 -- 4 X Classic simple;9; $ 243.900,00 
;;PROMO 2-- 2 x Charly doble ;6; $ 142.200,00 
;;Red Hot DOBLE;3; $ 47.400,00 
;;Red Hot Simple 110g ;1; $ 12.800,00 
;;RESIDENTE DOBLE;1; $ 17.200,00 
;;RESIDENTE SIMPLE;1; $ 14.200,00 
;;Rolling Stone Doble 220g;3; $ 45.900,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;STELLA ARTOIS 464ml;1; $ 3.700,00 
;;techno Chicken;1; $ 10.700,00 
;;Duko Simple;1; $ 13.100,00 
;;Duko Doble;9; $ 144.900,00 
;;Duko Triple 330g ;2; $ 38.800,00 
;;Beatle Triple ;3; $ 56.700,00 
;;Porcion Extra de Papas Medianas;; $ 13.200,00 
;;John Lennon Mediana;4; $ 64.000,00 
;;John Lennon XL;8; $ 176.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Michael Jackson XL;1; $ 24.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Creedence XL;3; $ 81.000,00 
;;Creedence Mediana ;3; $ 63.000,00 
;;Empanada de Jamon y Queso;7; $ 17.500,00 
;;Elvis Presley XL;2; $ 68.000,00 
