AñoCaja;2026;;;;;;;;;;;;;;;;;;;;;;;;;;
MesCaja;(Todas);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;CuentaDescripcion;Valores;;;;;;;;;;;;;;;;;;;
;;;;;;;Cobro a Clientes;;;Cobro a Clientes x Efectivo;;;Cobro a Clientes x Efectivo PYA;;;Cobro a Clientes x Mercado Pago;;;Cobro a Clientes x Pago OnLine PYA;;;Pago delivery;;;Cobro a Clientes x Posnet;;
FechaCaja;NroCaja;Turno;ImporteApertura;ImporteCierre;Diferencias;ImporteEnCajaCierre;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado;Cant. Pedidos Delivery;Cant.Pedidos Mostrador;ImporteCobrado
28/1/2026;378644;Mediodía;0;376588;-411;242100;;;;5;3;$ 227.880,00;0;1;$ 13.809,00;4;1;$ 128.700,00;0;1;$ 23.199,00;0;0;-$ 17.000,00;;;
;378645;Noche;0;2615763;2144;1233200;;;;26;20;$ 1.173.440,00;0;3;$ 61.904,00;30;9;$ 1.226.850,00;0;4;$ 71.569,00;;;;0;2;$ 82.000,00
29/1/2026;378646;Mediodía;0;297640;-860;97700;;;;5;1;$ 96.840,00;;;;5;3;$ 160.400,00;;;;0;0;-$ 17.000,00;0;1;$ 57.400,00
;378647;Noche;0;1572858;32760;976650;;;;19;21;$ 1.009.410,00;;;;12;4;$ 469.800,00;0;2;$ 25.048,00;;;;0;2;$ 68.600,00
30/1/2026;378648;Mediodía;0;318359;-350;162800;;;;2;4;$ 162.450,00;;;;2;2;$ 114.300,00;0;1;$ 15.809,00;0;0;-$ 17.000,00;0;1;$ 42.800,00
;378649;Noche;0;4592776;-2988;2213150;;;;57;35;$ 2.196.153,00;0;1;$ 14.009,00;43;24;$ 1.984.910,00;0;7;$ 150.804,00;;;;0;7;$ 246.900,00
31/1/2026;379649;Mediodía;0;311605;91;124000;;;;4;0;$ 111.780,00;0;1;$ 12.311,00;6;1;$ 190.700,00;0;1;$ 19.814,00;0;0;-$ 23.000,00;;;
;379650;Noche;0;4324779;-3597;2083150;;;;42;40;$ 2.012.470,00;0;2;$ 67.083,00;35;25;$ 1.868.110,00;0;6;$ 192.916,00;;;;0;6;$ 184.200,00
1/2/2026;380650;Noche;0;4567743;-3821;2348420;;;;48;33;$ 2.298.970,00;0;1;$ 45.629,00;43;22;$ 1.948.710,00;0;8;$ 208.034,00;;;;0;3;$ 66.400,00
2/2/2026;381650;Noche;0;2074908;-1950;782920;;;;15;15;$ 780.970,00;;;;30;12;$ 1.255.000,00;0;1;$ 38.429,00;0;0;-$ 42.000,00;0;2;$ 42.509,00
3/2/2026;382650;Mediodía;0;417490;270;210420;;;;4;6;$ 210.690,00;;;;6;3;$ 225.800,00;;;;0;0;-$ 19.000,00;;;
;382651;Noche;0;1725263;-900;1025250;;;;26;16;$ 1.024.350,00;;;;14;7;$ 581.175,00;0;2;$ 42.238,00;;;;0;4;$ 77.500,00
4/2/2026;382652;Mediodía;0;338070;-30;295500;;;;10;4;$ 295.470,00;;;;1;3;$ 61.600,00;;;;0;0;-$ 19.000,00;;;
;383652;Noche;0;2073300;-1200;1116700;;;;23;23;$ 1.115.500,00;;;;24;5;$ 923.700,00;;;;0;0;-$ 63.000,00;0;2;$ 97.100,00
5/2/2026;383653;Mediodía;0;655488;30;186000;;;;8;3;$ 186.030,00;;;;9;3;$ 373.600,00;0;2;$ 46.958,00;;;;0;2;$ 48.900,00
;383654;Noche;0;2455318;530;1095430;;;;19;21;$ 1.095.960,00;;;;32;8;$ 1.220.800,00;0;2;$ 69.658,00;;;;0;3;$ 68.900,00
6/2/2026;384654;Mediodía;0;507358;-961;264940;;;;5;5;$ 250.470,00;0;1;$ 13.509,00;5;2;$ 168.400,00;0;1;$ 21.079,00;;;;0;2;$ 53.900,00
;385654;Noche;0;4130835;459;2206150;;;;50;42;$ 2.183.820,00;0;1;$ 22.789,00;34;15;$ 1.544.000,00;0;6;$ 164.826,00;;;;0;9;$ 215.400,00
7/2/2026;385655;Mediodía;0;619534;7720;298500;;;;7;6;$ 306.220,00;;;;5;2;$ 213.200,00;0;3;$ 72.614,00;;;;0;1;$ 27.500,00
;386655;Noche;0;4151262;95867;2319600;;;;54;33;$ 2.355.920,00;0;3;$ 59.547,00;36;23;$ 1.614.100,00;0;5;$ 121.695,00;;;;;;
8/2/2026;387655;Noche;0;3849027;-2507;2340300;;;;49;32;$ 2.301.775,00;0;2;$ 36.018,00;38;9;$ 1.351.300,00;0;6;$ 159.934,00;;;;;;
9/2/2026;387656;Noche;0;1389280;-330;681750;;;;10;19;$ 681.420,00;;;;15;4;$ 584.260,00;;;;;;;0;2;$ 123.600,00
10/2/2026;387657;Mediodía;0;445423;-190;339770;;;;7;8;$ 339.580,00;;;;2;2;$ 59.400,00;0;2;$ 46.443,00;;;;;;
;388657;Noche;0;1700389;793;796500;;;;16;13;$ 775.890,00;0;2;$ 21.403,00;18;8;$ 768.280,00;0;4;$ 134.816,00;;;;;;
11/2/2026;388658;Mediodía;0;387398;-840;240600;;;;7;4;$ 239.760,00;;;;3;1;$ 119.200,00;0;2;$ 45.438,00;0;0;-$ 17.000,00;;;
;388659;Noche;0;1721330;-1400;848720;0;0;$ 0,00;21;20;$ 847.320,00;;;;19;5;$ 792.110,00;;;;;;;0;1;$ 81.900,00
12/2/2026;388660;Mediodía;0;288840;70;202070;0;0;$ 0,00;5;7;$ 202.140,00;;;;3;1;$ 60.400,00;;;;0;0;-$ 17.000,00;0;1;$ 43.300,00
;388661;Noche;0;1702588;3740;736000;0;0;$ 0,00;20;16;$ 739.740,00;;;;23;5;$ 864.200,00;0;4;$ 98.648,00;;;;;;
13/2/2026;388662;Mediodía;0;280760;10;110150;0;0;$ 0,00;3;3;$ 110.160,00;;;;5;3;$ 170.600,00;;;;;;;;;
;388663;Noche;0;3728515;8240;1770800;0;0;$ 0,00;44;26;$ 1.779.040,00;;;;33;19;$ 1.684.189,00;0;4;$ 90.486,00;;;;0;6;$ 174.800,00
14/2/2026;388664;Mediodía;0;403500;-800;188000;0;0;$ 0,00;4;4;$ 187.200,00;;;;5;2;$ 182.000,00;;;;0;0;-$ 18.000,00;0;1;$ 52.300,00
;388665;Noche;0;4981286;-5030;2120100;0;0;$ 0,00;34;47;$ 2.115.070,00;;;;36;26;$ 2.308.000,00;0;9;$ 241.316,00;;;;0;9;$ 316.900,00
15/2/2026;389665;Noche;0;3176042;-2250;1350700;0;0;$ 0,00;33;30;$ 1.348.450,00;;;;41;15;$ 1.676.700,00;0;3;$ 71.492,00;;;;0;2;$ 79.400,00
16/2/2026;389666;Noche;0;4342174;395;1574400;0;0;$ 0,00;29;32;$ 1.574.795,00;;;;36;29;$ 2.340.185,00;0;11;$ 427.194,00;;;;;;
17/2/2026;389667;Noche;0;2479178;338;1461300;0;0;$ 0,00;34;19;$ 1.397.230,00;0;2;$ 64.408,00;19;10;$ 807.900,00;0;5;$ 119.140,00;;;;0;4;$ 90.500,00
18/2/2026;390667;Mediodía;0;238070;370;82700;0;0;$ 0,00;1;3;$ 83.070,00;;;;5;1;$ 157.100,00;;;;0;0;-$ 17.000,00;0;1;$ 14.900,00
;390668;Noche;0;1346890;200;453100;0;0;$ 0,00;6;11;$ 453.300,00;;;;18;7;$ 725.400,00;0;5;$ 159.990,00;0;0;-$ 42.000,00;0;2;$ 50.200,00
19/2/2026;391668;Mediodía;0;403350;-70;180700;0;0;$ 0,00;4;4;$ 180.630,00;;;;6;1;$ 178.800,00;0;1;$ 31.520,00;0;0;-$ 19.000,00;0;1;$ 31.400,00
;391669;Noche;0;1541387;-1601;900320;0;0;$ 0,00;23;19;$ 864.070,00;0;1;$ 34.649,00;13;5;$ 550.100,00;0;2;$ 40.068,00;;;;0;2;$ 52.500,00
20/2/2026;391670;Mediodía;0;733937;-131;314550;0;0;$ 0,00;8;4;$ 274.320,00;0;1;$ 40.099,00;8;5;$ 339.300,00;0;2;$ 68.518,00;0;0;-$ 34.000,00;0;2;$ 45.700,00
;391671;Noche;0;3227562;-2787;1757140;0;0;$ 0,00;43;23;$ 1.716.760,00;0;2;$ 37.593,00;33;11;$ 1.258.230,00;0;1;$ 34.379,00;;;;0;5;$ 180.600,00
21/2/2026;391672;Mediodía;0;572979;420;270200;0;0;$ 0,00;4;5;$ 270.620,00;;;;7;4;$ 285.100,00;0;1;$ 17.259,00;;;;;;
;391673;Noche;0;3773244;-4120;2152800;0;0;$ 0,00;40;38;$ 2.148.680,00;;;;36;13;$ 1.373.770,00;0;6;$ 169.694,00;;;;0;2;$ 81.100,00
22/2/2026;391674;Noche;0;3297085;1779;1652430;0;0;$ 0,00;39;28;$ 1.639.380,00;0;1;$ 14.829,00;28;11;$ 1.416.860,00;0;4;$ 179.416,00;;;;0;2;$ 46.600,00
23/2/2026;391675;Noche;0;1193998;250;408650;0;0;$ 0,00;8;12;$ 408.900,00;;;;13;8;$ 708.400,00;0;2;$ 48.298,00;;;;0;1;$ 28.400,00
24/2/2026;391676;Mediodía;0;355668;-260;161000;0;0;$ 0,00;7;2;$ 160.740,00;;;;5;0;$ 103.700,00;0;2;$ 63.928,00;;;;0;1;$ 27.300,00
;391677;Noche;0;1614817;-851;1000520;0;0;$ 0,00;21;21;$ 969.590,00;0;1;$ 30.079,00;12;6;$ 474.160,00;0;2;$ 88.588,00;;;;0;1;$ 52.400,00
25/2/2026;391678;Mediodía;0;271139;90;72000;0;0;$ 0,00;3;0;$ 72.090,00;;;;4;3;$ 181.500,00;0;2;$ 34.549,00;0;0;-$ 17.000,00;;;
;391679;Noche;0;1688638;-840;724000;0;0;$ 0,00;19;10;$ 723.160,00;;;;20;8;$ 887.700,00;0;3;$ 119.778,00;0;0;-$ 42.000,00;;;
26/2/2026;391680;Mediodía;0;369429;250;202250;0;0;$ 0,00;5;5;$ 202.500,00;;;;3;3;$ 135.200,00;0;1;$ 16.229,00;0;0;-$ 17.000,00;0;1;$ 32.500,00
;391681;Noche;0;2015980;1030;1026200;0;0;$ 0,00;19;16;$ 1.027.230,00;;;;19;12;$ 898.050,00;;;;;;;0;2;$ 90.700,00
